case,continuation_stage,q_percentage,converged,valid_ac_solution,physical_solution,pf_error,iterations,min_voltage_pu,max_voltage_pu,min_voltage_bus,max_voltage_bus,voltage_security_valid,min_angle_rad,max_angle_rad,max_line_loading_pct,overloaded_lines,max_transformer_loading_pct,overloaded_transformers,total_load_q_mvar,generator_q_mvar,load_pf,q_p_ratio,full_realistic_q_mvar,generator_p_set_mw,load_p_set_mw,solved_generation_mw,solved_load_mw,generation_minus_load_mw,p_generator_set_difference_mw,p_load_set_difference_mw,load_count,numerical_validation_reasons,exception
Q_00_0PCT,coarse,0.0,True,True,True,6.286176557068757e-07,6.0,0.7389292262435733,1.0003259008453398,way/104388595-220,way/285823895-220,False,-0.7588032252226578,0.0,174.41672137565723,9,34.91764008351319,0,0.0,1255.5051755251516,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6221.195731423725,5899.27,321.92573142372476,0.0,0.0,10,,
Q_01_0PCT,coarse,1.0,True,True,True,4.935468070086443e-11,7.0,0.7307020216385712,1.0003259008453362,way/104388595-220,way/285823895-220,False,-0.7664037059427197,0.0,175.1628443587216,9,35.06391889702336,0,19.389962811585125,1301.7332020895794,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6225.290578873929,5899.27,326.02057887392857,0.0,0.0,10,,
Q_02_0PCT,coarse,2.0,True,True,True,3.291900085855559e-11,7.0,0.7218301945952476,1.0003259008453362,way/104388595-220,way/285823895-220,False,-0.7748440766857396,0.0,175.98898301568133,9,35.22807597834228,0,38.77992562317025,1350.824974118987,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6229.849886454619,5899.27,330.57988645461865,0.0,0.0,10,,
Q_03_0PCT,coarse,3.0,True,True,True,5.749845044533686e-11,7.0,0.7121171546740024,1.0003259008453362,way/104388595-220,way/285823895-220,False,-0.7843888631690494,0.0,176.91825777947497,9,35.415307957281776,0,58.16988843475538,1403.6517770585292,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6235.014858760403,5899.27,335.74485876040217,0.0,0.0,10,,
Q_04_0PCT,coarse,4.0,True,True,True,6.512124173241318e-10,7.0,0.7012387273252381,1.0003259008453362,way/104388595-220,way/285823895-220,False,-0.7954756879365676,0.0,177.98866063680916,9,35.634157158317095,0,77.5598512463405,1461.6504547359116,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6241.018359817037,5899.27,341.74835981703654,0.0,0.0,10,,
Q_05_0PCT,coarse,5.0,True,True,True,3.655823377357592e-08,7.0,0.6885838268585951,1.0003259008453362,way/104388595-220,way/285823895-220,False,-0.8089322235974982,0.0,179.27155680349196,9,35.90067600530091,0,96.94981405792564,1527.5297749370066,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6248.299393178339,5899.27,349.029393178339,0.0,0.0,10,,
Q_06_0PCT,coarse,6.0,True,True,True,4.341152002475792e-11,8.0,0.6726818447125981,1.0003259008453387,way/104388595-220,way/285823895-220,False,-0.8267571332489788,0.0,180.93806988530096,9,36.253372388546104,0,116.33977686951076,1607.8092279949535,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6257.914568276637,5899.27,358.64456827663616,0.0,0.0,10,,
Q_07_0PCT,coarse,7.0,True,True,True,1.5833734323678073e-10,9.0,0.6462440414873917,1.0003259008453385,way/104388595-220,way/285823895-220,False,-0.8588963006569051,0.0,183.83274380813447,9,36.882394951961814,0,135.72973968109588,1734.8059605509254,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6275.101588435308,5899.27,375.8315884353078,0.0,0.0,10,,
Q_08_0PCT,coarse,8.0,True,False,False,6.137300896433885,100.0,0.6531152403961749,1.000325900845338,way/104388595-220,way/285823895-220,False,-0.8456099647623415,0.0,183.0733315801271,9,36.67921184537886,0,155.119702492681,1714.1508286904768,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6275.487479079449,5899.27,376.2174790794488,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:6.1373,
Q_09_0PCT,coarse,9.0,True,False,False,8.804042352458158e+44,100.0,-4.209728762863414e+20,1.5434952704277276e+20,way/89760546-220,way/104388595-220,False,-6.496107769465325e-05,4097785830505614.0,9.236302696881597e+43,61,2.4636348863854146e+42,5,174.50966530426612,-2.9470930720265277e+23,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,8.480760412656615e+43,5899.27,8.480760412656615e+43,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:8.80404e+44;MIN_VOLTAGE_NUMERICALLY_IMPLAUSIBLE:-4.20973e+20;MAX_VOLTAGE_NUMERICALLY_IMPLAUSIBLE:1.5435e+20;MAX_ANGLE_NUMERICALLY_IMPLAUSIBLE:4.09779e+15;LINE_LOADING_NUMERICALLY_IMPLAUSIBLE:9.2363e+43;TRANSFORMER_LOADING_NUMERICALLY_IMPLAUSIBLE:2.46363e+42;GENERATOR_Q_NUMERICALLY_IMPLAUSIBLE:-2.94709e+23,
Q_10_0PCT,coarse,10.0,True,False,False,65089894925950.445,100.0,-87073.07678541701,1.000325900845338,way/361261945-220,way/285823895-220,False,-438.0517683185017,406.9835726084419,15014129531012.44,51,191124848.05301434,4,193.89962811585127,289645.04008768586,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,-9607234277416.928,5899.27,-9607234283316.197,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:6.50899e+13;MIN_VOLTAGE_NUMERICALLY_IMPLAUSIBLE:-87073.1;MIN_ANGLE_NUMERICALLY_IMPLAUSIBLE:-438.052;MAX_ANGLE_NUMERICALLY_IMPLAUSIBLE:406.984;LINE_LOADING_NUMERICALLY_IMPLAUSIBLE:1.50141e+13;TRANSFORMER_LOADING_NUMERICALLY_IMPLAUSIBLE:1.91125e+08,
Q_07_0PCT,fine,7.0,True,True,True,1.5833734323678073e-10,9.0,0.6462440414873917,1.0003259008453385,way/104388595-220,way/285823895-220,False,-0.8588963006569051,0.0,183.83274380813447,9,36.882394951961814,0,135.72973968109588,1734.8059605509254,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6275.101588435308,5899.27,375.8315884353078,0.0,0.0,10,,
Q_07_1PCT,fine,7.1,True,True,True,1.9619974978013488e-07,9.0,0.640700198678452,1.0003259008453385,way/104388595-220,way/285823895-220,False,-0.8660711405096526,0.0,184.45801451144047,9,37.020911009638986,0,137.6687359622544,1760.3651580007513,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6278.904491611213,5899.27,379.634491611213,0.0,0.0,10,,
Q_07_2PCT,fine,7.2,True,False,False,1.0813691014569002,100.0,0.646436310391093,1.000325900845338,way/104388595-220,way/285823895-220,False,-0.8578199737301253,0.0,183.81249966230527,9,36.87153987880814,0,139.6077322434129,1735.9068718890192,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6275.862035500457,5899.27,376.5920355004564,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:1.08137,
Q_07_3PCT,fine,7.3,True,False,False,37175805308.81116,100.0,-1193.1640716001216,1.026093780345548,way/547590959-220,way/88144450-220,False,-1078.561848398779,137.6417748325298,5226773088.845779,59,210855992.1219632,4,141.54672852457142,28595092.235913005,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,2173284849.97138,5899.27,2173278950.7013803,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:3.71758e+10;MIN_VOLTAGE_NUMERICALLY_IMPLAUSIBLE:-1193.16;MIN_ANGLE_NUMERICALLY_IMPLAUSIBLE:-1078.56;MAX_ANGLE_NUMERICALLY_IMPLAUSIBLE:137.642;LINE_LOADING_NUMERICALLY_IMPLAUSIBLE:5.22677e+09;TRANSFORMER_LOADING_NUMERICALLY_IMPLAUSIBLE:2.10856e+08;GENERATOR_Q_NUMERICALLY_IMPLAUSIBLE:2.85951e+07,
Q_07_4PCT,fine,7.4,True,False,False,23.640293879222057,100.0,0.7065316970863161,1.000325900845338,way/104388595-220,way/285823895-220,False,-0.7746801722073605,0.0,177.45466575387803,9,35.406194525094655,0,143.48572480572994,1471.36834809378,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6258.666473916689,5899.27,359.3964739166886,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:23.6403,
Q_07_5PCT,fine,7.5,True,False,False,3.895917331288912e+30,100.0,-18324533427652.895,58341523.33660005,way/89760546-220,way/197846408-220,False,-109664839.13645293,0.0,7.91052658699597e+29,60,1.1296315715548588e+29,5,145.42472108688844,1.2705682415666328e+17,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,-1.1870035729522983e+30,5899.27,-1.1870035729522983e+30,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:3.89592e+30;MIN_VOLTAGE_NUMERICALLY_IMPLAUSIBLE:-1.83245e+13;MAX_VOLTAGE_NUMERICALLY_IMPLAUSIBLE:5.83415e+07;MIN_ANGLE_NUMERICALLY_IMPLAUSIBLE:-1.09665e+08;LINE_LOADING_NUMERICALLY_IMPLAUSIBLE:7.91053e+29;TRANSFORMER_LOADING_NUMERICALLY_IMPLAUSIBLE:1.12963e+29;GENERATOR_Q_NUMERICALLY_IMPLAUSIBLE:1.27057e+17,
Q_07_6PCT,fine,7.6,True,False,False,28.83126456125777,100.0,0.5408350581310102,1.000325900845338,way/104388595-220,way/285823895-220,False,-0.9963453116076525,0.0,196.70715546632496,11,39.69861631978511,0,147.36371736804693,2207.5149702854255,0.95,0.3286841051788632,1938.9962811585126,5775.590999999999,5899.27,6386.769037854795,5899.27,487.49903785479455,0.0,0.0,10,PF_ERROR_ABOVE_TOLERANCE:28.8313,
